Elapsed time [s]	Value [0,1E-05]
2450.075	8.88501E-7
2456.136	8.88369E-7
2458.155	8.77161E-7
2460.174	8.86964E-7
2462.198	8.88474E-7
2468.259	8.88633E-7
2470.283	8.88427E-7
2472.302	8.77321E-7
2474.320	8.78083E-7
2478.358	8.87389E-7
2480.377	8.88538E-7
2484.419	8.88414E-7
2486.443	8.88294E-7
2488.462	8.78288E-7
2490.481	8.77199E-7
2492.499	8.88421E-7
2494.523	8.88524E-7
2500.585	8.88380E-7
2502.609	8.77288E-7
2504.627	8.87827E-7
2506.646	8.88682E-7
2508.665	8.84992E-7
2510.683	8.88616E-7
2514.726	8.88438E-7
2516.745	8.81621E-7
2518.769	8.77153E-7
2520.793	8.85256E-7
2522.806	8.88464E-7
2532.910	8.77337E-7
2534.944	8.87444E-7
2536.953	8.83717E-7
2538.972	8.88121E-7
2540.990	8.88637E-7
2545.033	8.88448E-7
2547.057	8.77282E-7
2549.076	8.77188E-7
2551.094	8.88469E-7
2553.113	8.85168E-7
2555.132	8.88490E-7
2557.156	8.88604E-7
2561.193	8.88511E-7
2563.217	8.77790E-7
2565.236	8.77340E-7
2567.275	8.80128E-7
2569.289	8.88556E-7
2571.313	8.88755E-7
2575.350	8.88587E-7
2577.374	8.78153E-7
2579.393	8.83735E-7
2581.417	8.88446E-7
2583.435	8.85734E-7
2585.454	8.88508E-7
2593.534	8.77340E-7
2595.553	8.86419E-7
2597.577	8.80923E-7
2599.595	8.88517E-7
2603.638	8.84407E-7
2605.657	8.88507E-7
2607.676	8.77438E-7
2609.699	8.77318E-7
2611.718	8.81065E-7
2613.737	8.77190E-7
2615.761	8.88481E-7
2619.798	8.82672E-7
2621.822	8.77132E-7
2623.846	8.77313E-7
2629.902	8.88626E-7
2637.982	8.77818E-7
2640.006	8.77265E-7
2644.044	8.88408E-7
2652.124	8.77170E-7
2654.148	8.77323E-7
2656.172	8.88551E-7
2658.190	8.77389E-7
2660.209	8.86050E-7
2662.228	8.88643E-7
2666.270	8.78772E-7
2668.289	8.77269E-7
2672.332	8.77425E-7
2674.351	8.88160E-7
2676.374	8.88540E-7
2678.393	8.87920E-7
2680.427	8.88413E-7
2682.431	8.77158E-7
2686.478	8.77253E-7
2688.497	8.84663E-7
2690.516	8.88551E-7
2696.603	8.77295E-7
2700.641	8.87957E-7
2702.664	8.77579E-7
2704.683	8.88587E-7
2708.726	8.88459E-7
2712.763	8.79093E-7
2714.782	8.77249E-7
2718.825	8.88463E-7
2724.886	8.88332E-7
2726.905	8.77248E-7
2730.947	8.88554E-7
2732.966	8.77485E-7
2734.990	8.87005E-7
2737.009	8.88607E-7
2741.051	8.88487E-7
2743.070	8.77097E-7
2745.089	8.77202E-7
2747.113	8.80570E-7
2749.131	8.88532E-7
2753.174	8.86983E-7
2755.193	8.88389E-7
2757.212	8.77156E-7
2759.235	8.77296E-7
2765.297	8.88560E-7
2767.321	8.88672E-7
2769.334	8.88559E-7
2771.358	8.77242E-7
2777.420	8.81428E-7
2779.438	8.88396E-7
2781.457	8.88509E-7
2783.476	8.88382E-7
2787.518	8.79871E-7
2789.547	8.77203E-7
2791.561	8.77315E-7
2793.580	8.85797E-7
2795.598	8.88595E-7
2801.660	8.77933E-7
2803.684	8.77146E-7
2805.702	8.88255E-7
2807.731	8.77419E-7
2809.745	8.86628E-7
2811.764	8.88483E-7
2815.817	8.87791E-7
2817.825	8.77219E-7
2821.868	8.87295E-7
2823.887	8.87869E-7
2825.910	8.88583E-7
2827.929	8.77834E-7
2829.948	8.88401E-7
2831.967	8.77337E-7
2836.009	8.78148E-7
2838.028	8.77199E-7
2840.052	8.88469E-7
2846.113	8.77253E-7
2848.132	8.77141E-7
2850.156	8.77336E-7
2852.169	8.78523E-7
2854.193	8.88366E-7
2856.212	8.88542E-7
2858.236	8.87024E-7
2860.255	8.88482E-7
2862.273	8.79471E-7
2864.297	8.77367E-7
2868.340	8.84356E-7
2870.354	8.88514E-7
2872.377	8.88389E-7
2876.420	8.84183E-7
2878.439	8.77248E-7
2880.458	8.88484E-7
2882.476	8.78980E-7
2884.500	8.86569E-7
2886.519	8.88606E-7
2892.580	8.77589E-7
2894.599	8.77405E-7
2896.623	8.84183E-7
2898.642	8.88384E-7
2900.660	8.88625E-7
2902.684	8.77930E-7
2904.703	8.88451E-7
2906.722	8.86231E-7
2908.746	8.77162E-7
2910.764	8.79113E-7
2912.783	8.77230E-7
2914.807	8.88070E-7
2916.826	8.88566E-7
2920.868	8.77762E-7
2922.887	8.77201E-7
2924.911	8.77365E-7
2926.930	8.80279E-7
2928.948	8.86791E-7
2930.967	8.88638E-7
2932.986	8.80805E-7
