Elapsed time [s]	Value [-1,361]
1752.179	23.22400
1754.326	331.7440
1756.479	280.2640
1758.632	228.7840
1760.779	177.3040
1762.927	125.8240
1765.079	73.55200
1767.232	22.07200
1769.379	330.5920
1771.532	279.1120
1773.685	227.6320
1775.832	176.1520
1777.985	123.8800
1780.132	72.40000
1782.290	20.92000
1784.437	329.4400
1786.585	277.9600
1788.748	226.4800
1790.885	174.2080
1793.038	122.7280
1795.185	71.24800
1797.338	19.76800
1799.496	328.2880
1801.638	276.8080
1803.791	224.5360
1805.938	173.0560
1808.091	121.5760
1810.243	70.09600
1812.391	18.61600
1814.543	327.1360
1816.691	274.8640
1818.849	223.3840
1820.996	171.9040
1823.149	120.4240
1825.296	68.94400
1827.444	16.67200
1829.596	325.1920
1831.744	273.7120
1833.896	222.2320
1836.049	170.7520
1838.197	119.2720
1840.349	67.00000
1842.497	15.52000
1844.649	324.0400
1846.802	272.5600
1848.949	221.0800
1851.102	169.6000
1853.250	117.3280
1855.402	65.84800
1857.550	14.36800
1859.702	322.8880
1861.855	271.4080
1864.008	219.9280
1866.155	167.6560
1868.303	116.1760
1870.460	64.69600
1872.618	13.21600
1874.755	321.7360
1876.908	270.2560
1879.055	217.9840
1881.208	166.5040
1883.356	115.0240
1885.508	63.54400
1887.661	12.06400
1889.808	320.5840
1891.961	268.3120
1894.108	216.8320
1896.261	165.3520
1898.414	113.8720
1900.561	62.39200
1902.714	10.91200
1904.866	318.6400
1907.014	267.1600
1909.167	215.6800
1911.314	164.2000
1913.467	112.7200
1915.614	61.24000
1917.767	8.968000
1919.919	317.4880
1922.067	266.0080
1924.220	214.5280
1926.367	163.0480
1928.520	111.5680
1930.667	59.29600
1932.820	7.816000
1934.972	316.3360
1937.125	264.8560
1939.273	213.3760
1941.430	161.8960
1943.573	109.6240
1945.725	58.14400
1947.873	6.664000
1950.025	315.1840
1952.173	263.7040
1954.326	212.2240
1956.478	159.9520
1958.631	108.4720
1960.778	56.99200
1962.926	5.512000
1965.084	314.0320
1967.226	262.5520
1969.379	210.2800
1971.531	158.8000
1973.689	107.3200
1975.831	55.84000
1977.979	4.360000
1980.137	312.8800
1982.279	260.6080
1984.431	209.1280
1986.584	157.6480
1988.732	106.1680
1990.884	54.68800
1993.032	3.208000
1995.184	310.9360
1997.337	259.4560
1999.484	207.9760
2001.653	156.4960
2003.785	105.0160
2005.937	53.53600
2008.085	1.264000
2010.237	309.7840
2012.390	258.3040
2014.537	206.8240
2016.690	155.3440
2018.843	103.8640
2020.990	51.59200
2023.143	0.1120000
2025.295	308.6320
2027.448	257.1520
2029.596	205.6720
2031.748	154.1920
2033.891	101.9200
2036.043	50.44000
2038.196	358.9600
2040.348	307.4800
2042.496	256.0000
2044.643	204.5200
2046.796	152.2480
2048.954	100.7680
2051.101	49.28800
2053.249	357.8080
2055.401	306.3280
2057.554	254.0560
2059.702	202.5760
2061.849	151.0960
2064.002	99.61600
2066.154	48.13600
2068.302	356.6560
2070.454	305.1760
2072.602	252.9040
2074.755	201.4240
2076.907	149.9440
2079.055	98.46400
2081.207	46.98400
2083.355	355.5040
2085.507	303.2320
2087.655	251.7520
2089.808	200.2720
2091.960	148.7920
2094.108	97.31200
2096.260	45.83200
2098.408	353.5600
2100.560	302.0800
2102.708	250.6000
2104.861	199.1200
2107.013	147.6400
2109.161	95.36800
2111.318	43.88800
2113.461	352.4080
2115.619	300.9280
2117.766	249.4480
2119.914	197.9680
2122.066	146.4880
2124.214	94.21600
2126.366	42.73600
2128.514	351.2560
2130.666	299.7760
2132.819	248.2960
2134.967	196.0240
2137.119	144.5440
2139.277	93.06400
2141.419	41.58400
2143.572	350.1040
2145.719	298.6240
2147.872	246.3520
2150.019	194.8720
2152.172	143.3920
2154.325	91.91200
2156.477	40.43200
2158.625	348.9520
2160.772	296.6800
2162.925	245.2000
2165.078	193.7200
2167.235	142.2400
2169.378	90.76000
2171.536	39.28000
2173.683	347.0080
2175.830	295.5280
2177.978	244.0480
2180.136	192.5680
2182.283	141.0880
2184.431	89.60800
2186.578	37.33600
2188.731	345.8560
2190.883	294.3760
2193.031	242.8960
2195.184	191.4160
2197.336	139.9360
2199.484	87.66400
2201.631	36.18400
2203.784	344.7040
2205.936	293.2240
2208.084	241.7440
2210.237	190.2640
2212.384	137.9920
2214.542	86.51200
2216.689	35.03200
2218.837	343.5520
2220.989	292.0720
2223.137	240.5920
2225.290	188.3200
2227.437	136.8400
2229.590	85.36000
2231.742	33.88000
2233.890	342.4000
2236.042	290.9200
2238.205	238.6480
2240.343	187.1680
2242.495	135.6880
2244.643	84.20800
2246.795	32.72800
2248.943	341.2480
2251.101	288.9760
2253.248	237.4960
2255.401	186.0160
2257.548	134.5360
2259.701	83.05600
2261.848	31.57600
2263.996	339.3040
2266.148	287.8240
2268.301	236.3440
2270.449	184.8640
2272.601	133.3840
2274.749	81.90400
2276.901	29.63200
2279.054	338.1520
2281.201	286.6720
2283.354	235.1920
2285.502	183.7120
2287.654	132.2320
2289.802	79.96000
2291.954	28.48000
2294.107	337.0000
2296.260	285.5200
2298.407	234.0400
2300.554	182.5600
2302.707	130.2880
2304.860	78.80800
2307.007	27.32800
2309.160	335.8480
2311.323	284.3680
2313.460	232.8880
2315.607	180.6160
2317.765	129.1360
2319.918	77.65600
2322.060	26.17600
2324.213	334.6960
2326.366	283.2160
2328.518	230.9440
2330.666	179.4640
2332.813	127.9840
2334.966	76.50400
2337.118	25.02400
2339.266	333.5440
2341.418	281.2720
2343.566	229.7920
2345.719	178.3120
2347.871	126.8320
2350.019	75.35200
2352.171	23.08000
2354.324	331.6000
