Elapsed time [s]	Value [-1,361]
2116.958	268.5360
2119.110	217.0380
2121.258	165.5680
2123.410	114.0890
2125.563	62.59310
2127.710	10.34780
2129.858	318.8540
2132.010	267.3670
2134.163	215.8940
2136.311	164.4180
2138.463	112.9350
2140.611	60.67270
2142.763	9.176220
2144.916	317.7040
2147.063	266.2370
2149.216	214.7430
2151.364	163.2600
2153.516	110.9990
2155.664	59.50110
2157.816	8.036720
2159.969	316.5580
2162.116	265.0680
2164.269	213.5900
2166.432	161.3320
2168.569	109.8360
2170.722	58.36820
2172.874	6.885350
2175.022	315.3930
2177.169	263.9290
2179.322	211.6550
2181.475	160.1590
2183.622	108.6890
2185.775	57.20410
2187.927	5.723880
2190.075	314.2580
2192.222	261.9720
2194.375	210.4880
2196.528	159.0300
2198.675	107.5230
2200.828	56.05620
2202.980	4.590530
2205.128	312.2930
2207.281	260.8230
2209.428	209.3520
2211.581	157.8580
2213.733	106.3930
2215.881	54.91140
2218.033	2.617380
2220.181	311.1510
2222.334	259.6790
2224.481	208.1860
2226.634	156.7180
2228.786	105.2310
2230.934	52.95540
2233.086	1.484910
2235.234	309.9980
2237.387	258.5110
2239.539	207.0490
2241.687	155.5540
2243.839	103.2940
2245.987	51.82120
2248.139	0.3216800
2250.287	308.8460
2252.450	257.3760
2254.592	205.8810
2256.740	153.6120
2258.892	102.1370
2261.040	50.63950
2263.192	359.1720
2265.345	307.7080
2267.493	255.4130
2269.645	203.9480
2271.793	152.4740
2273.945	100.9780
2276.098	49.51270
2278.245	358.0260
2280.398	305.7500
2282.546	254.2820
2284.698	202.7990
2286.846	151.3130
2288.998	99.84460
2291.151	48.34340
2293.298	356.0800
2295.451	304.6080
2297.598	253.1160
2299.751	201.6350
2301.904	150.1720
2304.051	98.66560
2306.204	46.40890
2308.351	354.9300
2310.504	303.4400
2312.651	251.9650
2314.804	200.5010
2316.957	149.0030
2319.104	96.74600
2321.257	45.25970
2323.404	353.7740
2325.557	302.3050
2327.710	250.8130
2329.857	199.3380
2332.010	147.0720
2334.157	95.56960
2336.310	44.09380
2338.462	352.6270
2340.610	301.1430
2342.778	249.6570
2344.910	197.4080
2347.063	145.9010
2349.210	94.44290
2351.363	42.96010
2353.515	351.4630
2355.663	299.9930
2357.816	247.7330
2359.973	196.2350
2362.116	144.7650
2364.268	93.28010
2366.416	41.78980
2368.568	350.3240
2370.716	298.0510
2372.869	246.5580
2375.016	195.0910
2377.169	143.6080
2379.321	92.11860
2381.469	40.65910
2383.621	348.3770
2385.774	296.8880
2387.922	245.4270
2390.074	193.9350
2392.227	142.4590
2394.374	90.98880
2396.527	38.69170
2398.674	347.2200
2400.827	295.7500
2402.980	244.2480
2405.127	192.7840
2407.280	140.5240
2409.427	89.02490
2411.595	37.55480
2413.733	346.0790
2415.880	294.5840
2418.033	243.1170
2420.180	190.8500
2422.333	139.3480
2424.485	87.89190
2426.633	36.39590
2428.786	344.9140
2430.948	293.4520
2433.086	241.1670
2435.233	189.6850
2437.386	138.2170
2439.538	86.71820
2441.686	35.24330
2443.839	343.7780
2445.986	291.4900
2448.139	240.0090
2450.302	188.5460
2452.439	137.0490
2454.591	85.57600
2456.739	34.10600
2458.892	341.8250
2461.039	290.3450
2463.192	238.8740
2465.344	187.3830
2467.492	135.9080
2469.644	84.42330
2471.792	32.14380
2473.945	340.6760
2476.097	289.1860
2478.245	237.7060
2480.397	186.2330
2482.545	134.7500
2484.697	82.48620
2486.850	31.01090
2488.997	339.5180
2491.166	288.0340
2493.298	236.5760
2495.450	185.0770
2497.598	132.8040
2499.750	81.33350
2501.903	29.83540
2504.050	338.3690
2506.203	286.8990
2508.351	235.4010
2510.503	183.1350
2512.656	131.6560
2514.819	80.17080
2516.956	28.70420
2519.103	337.2220
2521.256	285.7280
2523.404	233.4730
2525.556	181.9840
2527.709	130.5040
2529.856	79.03430
2532.009	27.53700
2534.156	336.0660
2536.309	283.8110
2538.462	232.3000
2540.609	180.8320
2542.762	129.3570
2544.914	77.86140
2547.067	26.38920
2549.209	334.1310
2551.362	282.6270
2553.515	231.1670
2555.662	179.6820
2557.815	128.2010
2559.967	76.72940
2562.115	24.45340
2564.273	332.9600
2566.415	281.4940
2568.568	230.0110
2570.720	178.5250
2572.868	127.0560
2575.020	74.76680
2577.168	23.29150
2579.321	331.8280
2581.473	280.3280
2583.621	228.8520
2585.773	177.3830
2587.921	125.0970
2590.073	73.62690
2592.221	22.16470
2594.374	330.6590
2596.526	279.1840
2598.674	227.7080
2600.831	175.4260
2602.974	123.9570
2605.126	72.47720
2607.279	20.98130
2609.427	329.5160
2611.579	278.0350
2613.727	225.7490
2615.879	174.2770
2618.027	122.7930
2620.179	71.30920
2622.332	19.85230
2624.480	328.3540
2626.632	276.0900
2628.780	224.6220
2630.932	173.1270
2633.085	121.6490
2635.232	70.18730
2637.385	18.68330
2639.533	326.4110
2641.685	274.9450
2643.833	223.4470
2645.985	171.9730
2648.138	120.5000
2650.285	68.21500
2652.438	16.74930
2654.585	325.2670
2656.738	273.7730
2658.891	222.3030
2661.038	170.8250
2663.191	119.3400
2665.338	67.07990
2667.491	15.59270
2669.638	324.1110
2671.791	272.6390
2673.944	221.1490
2676.091	168.8780
2678.244	117.4120
2680.391	65.91490
2682.544	14.43960
2684.697	322.9660
2686.844	271.4770
2688.997	219.9950
2691.144	167.7370
2693.297	116.2400
2695.449	64.77320
2697.597	13.29790
2699.750	321.7990
2701.897	269.5460
2704.050	218.0650
2706.202	166.5760
2708.350	115.1030
2710.502	63.61740
2712.650	12.13110
2714.803	319.8720
2716.950	268.3810
2719.103	216.8960
2721.255	165.4330
2723.403	113.9330
2725.555	62.45730
2727.703	10.20670
2729.856	318.7000
2732.008	267.2270
2734.156	215.7570
2736.308	164.2660
2738.456	112.7970
2740.608	60.52630
2742.756	9.024610
2744.909	317.5600
2747.061	266.0900
2749.219	214.5970
2751.361	163.1220
2753.509	110.8490
2755.661	59.36050
2757.809	7.897850
2759.962	316.4020
2762.114	264.9250
2764.262	213.4520
2766.414	161.1760
2768.562	109.6970
2770.714	58.23190
2772.867	6.731540
2775.015	315.2570
2777.167	263.7880
2779.315	211.4960
2781.467	160.0210
2783.620	108.5480
2785.767	57.04940
2787.920	5.585890
2790.068	314.1150
2792.220	261.8200
2794.373	210.3500
2796.556	158.8830
2798.673	107.3820
2800.826	55.92170
2802.973	4.439360
2805.121	312.1510
2807.273	260.6880
2809.426	209.1990
2811.573	157.7170
2813.736	106.2530
2815.879	54.74840
2818.026	2.478080
2820.179	311.0150
2822.326	259.5240
2824.479	208.0450
2826.631	156.5790
2828.779	105.0750
2830.932	52.81830
2833.079	1.340770
2835.232	309.8450
2837.379	258.3700
2839.532	206.9050
2841.684	155.4090
2843.832	103.1550
2845.984	51.67570
2848.132	0.1771000
2850.285	308.7110
2852.437	257.2250
2854.585	205.7390
2856.737	153.4750
2858.885	101.9820
2861.037	50.49580
2863.185	359.0360
2865.338	307.5500
2867.490	256.0650
2869.638	203.8130
2871.790	152.3150
2873.938	100.8410
2876.090	49.37120
2878.243	357.8710
2880.391	306.3970
2882.543	254.1380
2884.691	202.6490
2886.843	151.1680
2888.991	99.69570
2891.143	48.19310
2893.296	356.7270
2895.444	304.4560
2897.596	252.9720
2899.744	201.4990
2901.896	150.0190
2904.049	98.52230
2906.196	47.06320
2908.349	354.7760
2910.497	303.3000
2912.649	251.8260
2914.802	200.3460
2916.949	148.8640
2919.112	97.40040
2921.249	45.10240
2923.402	353.6320
2925.550	302.1630
2927.702	250.6610
2929.855	199.1950
2932.007	146.9320
2934.155	95.42290
2936.302	43.95940
2938.455	352.4820
2940.608	300.9980
2942.755	249.5210
2944.908	198.0400
2947.055	145.7590
2949.208	94.30400
2951.361	42.80270
2953.518	351.3200
2955.661	299.8540
2957.808	247.5750
2959.961	196.0980
2962.108	144.6280
2964.276	93.11920
2966.414	41.65050
2968.561	350.1820
2970.714	298.6890
2972.861	246.4160
2975.014	194.9520
2977.166	143.4560
2979.314	91.98190
2981.467	40.51050
2983.614	348.2280
2985.767	296.7510
2987.914	245.2800
2990.067	193.7900
2992.219	142.3220
2994.367	90.83670
2996.520	38.54660
2998.672	347.0800
3000.820	295.5940
3002.972	244.1110
3005.120	192.6440
3007.272	141.1530
3009.420	88.88950
3011.572	37.41900
3013.725	345.9260
3015.873	294.4450
3018.025	242.9820
3020.173	191.4830
3022.325	139.2110
3024.473	87.74740
3026.625	36.24350
3028.778	344.7760
3030.926	293.3070
3033.078	241.8100
3035.226	189.5470
3037.378	138.0690
3039.531	86.57050
3041.678	35.10830
3043.831	343.6280
3045.979	292.1350
3048.162	239.8750
3050.279	188.3940
3052.431	136.9100
3054.584	85.44070
3056.731	33.94600
3058.884	342.4730
3061.032	290.2100
3063.184	238.7160
3065.337	187.2420
3067.484	135.7690
3069.637	84.26950
3071.784	32.79110
3073.937	340.5340
3076.085	289.0380
3078.237	237.5690
3080.390	186.0860
3082.537	134.6010
3084.690	83.12960
3086.843	30.85930
3088.995	339.3740
3091.143	287.8960
3093.295	236.4230
3095.443	184.9370
3097.595	132.6690
3099.748	81.17400
3101.896	29.69870
3104.048	338.2310
3106.201	286.7430
3108.348	235.2610
3110.496	183.7950
3112.648	131.5000
3114.801	80.03410
3116.949	28.56620
3119.101	337.0700
3121.249	285.5890
3123.401	233.3320
3125.554	181.8360
3127.701	130.3710
3129.854	78.88710
3132.002	27.39020
3134.154	335.9220
3136.302	283.6610
3138.454	232.1550
3140.607	180.6900
3142.754	129.2000
3144.907	77.72170
3147.055	26.25120
3149.207	333.9730
3151.360	282.4890
3153.507	231.0310
