Elapsed time [s]	Value [-1E+100,1E+100]
1563.005	0.6534000
1565.106	0.6539000
1567.207	0.6544000
1569.308	0.6550000
1571.404	0.6553000
1573.505	0.6557000
1575.606	0.6564000
1577.707	0.6569000
1579.808	0.6573000
1581.910	0.6578000
1584.011	0.6582000
1586.112	0.6589000
1588.213	0.6594000
1590.309	0.6600000
1592.410	0.6605000
1594.511	0.6610000
1596.612	0.6613000
1598.714	0.6618000
1600.815	0.6624000
1602.916	0.6631000
1605.017	0.6634000
1607.118	0.6638000
1609.219	0.6645000
1611.320	0.6651000
1613.416	0.6659000
1615.517	0.6665000
1617.619	0.6667000
1619.720	0.6672000
1621.821	0.6680000
1623.922	0.6682000
1626.023	0.6687000
1628.124	0.6692000
1630.225	0.6697000
1632.327	0.6703000
1634.423	0.6708000
1636.524	0.6715000
1638.625	0.6721000
1640.726	0.6726000
1642.827	0.6731000
1644.928	0.6733000
1647.029	0.6738000
1649.130	0.6746000
1651.226	0.6748000
1653.328	0.6753000
1655.429	0.6760000
1657.530	0.6764000
1659.631	0.6772000
1661.732	0.6776000
1663.833	0.6779000
1665.934	0.6787000
1668.036	0.6792000
1670.137	0.6796000
1672.233	0.6801000
1674.334	0.6806000
1676.435	0.6811000
1678.536	0.6814000
1680.637	0.6817000
1682.743	0.6822000
1684.839	0.6830000
1686.941	0.6836000
1689.042	0.6841000
1691.158	0.6843000
1693.239	0.6850000
1695.340	0.6855000
1697.441	0.6860000
1699.542	0.6866000
1701.643	0.6868000
1703.745	0.6876000
1705.846	0.6881000
1707.947	0.6883000
1710.048	0.6889000
1712.144	0.6899000
1714.250	0.6903000
1716.346	0.6909000
1718.447	0.6914000
1720.548	0.6918000
1722.650	0.6921000
1724.751	0.6926000
1726.852	0.6932000
1728.953	0.6936000
1731.049	0.6941000
1733.150	0.6947000
1735.251	0.6949000
1737.352	0.6957000
1739.454	0.6959000
1741.555	0.6968000
1743.656	0.6974000
1745.757	0.6979000
1747.858	0.6981000
1749.959	0.6986000
1752.060	0.6992000
1754.161	0.6995000
1756.263	0.7000000
1758.364	0.7003000
1760.460	0.7010000
1762.561	0.7014000
1764.662	0.7019000
1766.763	0.7026000
1768.864	0.7029000
1770.965	0.7034000
1773.067	0.7042000
1775.168	0.7044000
1777.269	0.7053000
1779.365	0.7057000
1781.466	0.7063000
1783.567	0.7067000
1785.668	0.7071000
1787.769	0.7076000
1789.870	0.7083000
1791.972	0.7089000
1794.073	0.7093000
1796.174	0.7098000
1798.275	0.7104000
1800.371	0.7109000
1802.477	0.7112000
1804.573	0.7116000
1806.674	0.7124000
1808.776	0.7128000
1810.877	0.7134000
1812.978	0.7139000
1815.079	0.7146000
1817.180	0.7150000
1819.276	0.7153000
1821.377	0.7162000
1823.478	0.7168000
1825.579	0.7173000
1827.681	0.7176000
1829.782	0.7181000
1831.883	0.7188000
1833.984	0.7193000
1836.085	0.7198000
1838.181	0.7200000
1840.282	0.7210000
1842.383	0.7215000
1844.485	0.7217000
1846.586	0.7226000
1848.687	0.7229000
1850.788	0.7232000
1852.889	0.7239000
1854.990	0.7244000
1857.091	0.7250000
1859.192	0.7252000
1861.288	0.7259000
1863.390	0.7267000
1865.501	0.7272000
1867.602	0.7276000
1869.703	0.7282000
1871.804	0.7287000
1873.906	0.7293000
1876.002	0.7296000
1878.103	0.7299000
1880.204	0.7304000
1882.305	0.7312000
1884.406	0.7314000
1886.507	0.7321000
1888.608	0.7325000
1890.704	0.7333000
1892.806	0.7338000
1894.907	0.7340000
1897.008	0.7347000
1899.109	0.7349000
1901.210	0.7353000
1903.311	0.7360000
1905.412	0.7366000
1907.513	0.7371000
1909.609	0.7374000
1911.711	0.7384000
1913.812	0.7387000
1915.913	0.7392000
1918.014	0.7400000
1920.115	0.7404000
1922.216	0.7409000
1924.317	0.7411000
1926.419	0.7415000
1928.515	0.7422000
1930.616	0.7427000
1932.717	0.7430000
1934.818	0.7437000
1936.919	0.7442000
1939.020	0.7447000
1941.121	0.7455000
1943.222	0.7461000
1945.318	0.7465000
1947.420	0.7469000
1949.521	0.7472000
1951.622	0.7479000
1953.723	0.7483000
1955.824	0.7486000
1957.925	0.7493000
1960.026	0.7498000
1962.128	0.7504000
1964.229	0.7508000
1966.325	0.7512000
1968.426	0.7515000
