[Header]
TITLE,Bi-O-S_bestsample_Add.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
28484702.03,,5905,2.10174,2.1167,0.174,9.3E-6,2.1073013,0.028954104,0,0,0.1474986,0.001976,0.1474986,0.001976,68.806444,0.062505315,0,100,,,1,,,,2.3598E-6,0.124042,4.4407189,0,0
28484717.56,,5905,2.10216,2.1174,0.174,9.4E-6,2.1082767,0.029047295,0,0,0.14730522,0.002589,0.14730522,0.002589,7.6518672,0.061947197,0,100,,,1,,,,2.3779E-6,0.1250106,4.4448308,0,0
28484733.8,,5905,2.10222,2.1168,0.174,9.3E-6,2.1082566,0.028945597,0,0,0.14734261,0.001877,0.14734261,0.001877,43.26285,0.062357214,0,100,,,1,,,,2.3629E-6,0.1238944,4.4447461,0,0
28484749.23,,5905,2.10171,2.1149,0.174,9.3E-6,2.1081502,0.029112876,0,0,0.147571,0.001899,0.147571,0.001899,46.070171,0.062745141,0,100,,,1,,,,2.3519E-6,0.1247144,4.4442974,0,0
28484764.7,,5905,2.10259,2.1174,0.174,9.4E-6,2.1086752,0.02921872,0,0,0.14728346,0.001927,0.14728346,0.001927,119.15284,0.062503954,0,100,,,1,,,,2.3564E-6,0.1254903,4.4465112,0,0
28484780.05,,5905,2.10278,2.1168,0.174,9.4E-6,2.1087116,0.029168659,0,0,0.14723906,0.001837,0.14723906,0.001837,63.707207,0.062432321,0,100,,,1,,,,2.3584E-6,0.1250079,4.4466647,0,0
28484795.36,,5905,2.10304,2.1178,0.174,9.3E-6,2.1093305,0.029081484,0,0,0.14774704,0.002423,0.14774704,0.002423,9.5925428,0.0626801,0,100,,,1,,,,2.3572E-6,0.1248646,4.4492751,0,0
28484810.86,,5905,2.10284,2.1155,0.174,9.4E-6,2.1090901,0.029198851,0,0,0.14729388,0.001863,0.14729388,0.001863,79.776224,0.062375513,0,100,,,1,,,,2.3614E-6,0.1253602,4.4482609,0,0
28484826.17,,5905,2.10341,2.1181,0.174,9.4E-6,2.1095431,0.029109816,0,0,0.14734248,0.002045,0.14734248,0.002045,8.2577064,0.062422773,0,100,,,1,,,,2.3604E-6,0.124751,4.4501719,0,0
28484998.92,,5905,2.20284,2.2172,0.174,9.3E-6,2.20898,0.02707364,0,0,0.17209247,0.003107,0.17209247,0.003107,141.35191,0.06044194,0,100,,,1,,,,2.8472E-6,0.1248455,4.8795928,0,0
