Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27809482.24,2.5261740125,9.941,10,5.00035974626131,,9.10737094994656E-7,6.53202302773866E-5,4.25439068870709E-6,6.54586306274656E-5,3.72648447353926,1.51445295883735E-8,4.70352250315861E-11,1.51446026281813E-8,0.177946181970439,320,25,5,13.4965986394558,-0.258794324398445,6.723051396077E-5,4370,0,2.5132427,2.5402207,9.941,9.941,,2.5333125,,,,,,,,,,,,,,,,,,,,,,,2.5261740125
,27809541.86,2.625931175,9.941,10,5.00035974626131,,5.6093448248172E-7,6.57189415708873E-5,5.64351277256712E-6,6.59608104681243E-5,4.90814571988145,1.51616699215916E-8,6.65962895718033E-11,1.5161816180032E-8,0.251665008187196,320,25,5,13.4965986394558,-0.258794324398445,6.73782733321124E-5,4370,0,2.6076119,2.6469007,9.941,9.941,,2.633575,,,,,,,,,,,,,,,,,,,,,,,2.625931175
,27809601.24,2.72453915,9.941,10,5.00035974626131,,8.09891024105722E-7,6.38266297067508E-5,-2.49181023905352E-7,6.38271161098898E-5,-0.22368325786033,1.51572376720784E-8,4.71451246192439E-11,1.51573109920806E-8,0.178212416584005,320,25,5,13.4965986394558,-0.258794324398445,6.7048223866777E-5,4370,0,2.7060831,2.764818,9.941,9.941,,2.730775,,,,,,,,,,,,,,,,,,,,,,,2.72453915
,27809650.16,2.8144188875,9.941,10,5.00035974626131,,7.49888507436813E-7,6.30315628462835E-5,1.87419544466125E-6,6.30594205762293E-5,1.70314448963498,1.5153902915832E-8,4.45377358842341E-11,1.51539683645037E-8,0.168393381031537,320,25,5,13.4965986394558,-0.258794324398445,6.74706229392013E-5,4370,0,2.787358,2.8392601,9.941,9.941,,2.8108625,,,,,,,,,,,,,,,,,,,,,,,2.8144188875
,27809720.67,2.92414195,9.941,10,5.00035974626131,,7.00151623764274E-7,6.20984612200091E-5,5.08751111756729E-7,6.21005451955673E-5,0.469393907954553,1.51516571383867E-8,7.16894086019454E-11,1.51518267351013E-8,0.271090472842283,320,25,5,13.4965986394558,-0.258794324398445,6.7322863567859E-5,4370,0,2.9060907,2.9373569,9.941,9.941,,2.92555,,,,,,,,,,,,,,,,,,,,,,,2.92414195
,27809783.50,3.0265640625,9.941,10,5.00035974626131,,1.36262808252182E-6,6.44873071433239E-5,-2.88591348506661E-7,6.44879528870612E-5,-0.256406363113285,1.51362820458394E-8,2.8368778415398E-11,1.51363086305344E-8,0.107384981663515,320,25,5,13.4965986394558,-0.258794324398445,6.70715120285647E-5,4370,0,3.0105944,3.0448115,9.941,9.941,,3.0302625,,,,,,,,,,,,,,,,,,,,,,,3.0265640625
,27809842.34,3.12366025,9.941,10,5.00035974626131,,6.60769951918914E-7,6.0497623535024E-5,1.06651146874832E-6,6.05070235600667E-5,1.0099616036885,1.51651790015921E-8,5.84783656084236E-11,1.51652917502294E-8,0.220936853758989,320,25,5,13.4965986394558,-0.258794324398445,6.71662707558386E-5,4370,0,3.1074154,3.138216,9.941,9.941,,3.1286375,,,,,,,,,,,,,,,,,,,,,,,3.12366025
,27809900.64,3.223505775,9.941,10,5.00035974626131,,4.86913635535007E-7,6.04590597799292E-5,5.09690088313635E-7,6.04612081706872E-5,0.483011135624079,1.51446043822851E-8,5.61444420991921E-11,1.51447084519414E-8,0.212407320616129,320,25,5,13.4965986394558,-0.258794324398445,6.73051966865028E-5,4370,0,3.2017643,3.2408946,9.941,9.941,,3.2237125,,,,,,,,,,,,,,,,,,,,,,,3.223505775
,27809962.42,3.32645135,9.941,10,5.00035974626131,,4.32942927771893E-7,5.90211685057948E-5,9.13293649608501E-7,5.90282342365062E-5,0.88652422442692,1.51317954239942E-8,7.45013935697544E-11,1.51319788266854E-8,0.282093486507156,320,25,5,13.4965986394558,-0.258794324398445,6.71277248328797E-5,4370,0,3.3071244,3.3428595,9.941,9.941,,3.32665,,,,,,,,,,,,,,,,,,,,,,,3.32645135
,27810023.04,3.4209914375,9.941,10,5.00035974626131,,9.97186569104218E-7,5.79362114969096E-5,-1.37341421598137E-7,5.79363742849061E-5,-0.135822983007586,1.51638747197301E-8,3.40768087774238E-11,1.51639130090015E-8,0.128756935257966,320,25,5,13.4965986394558,-0.258794324398445,6.7379076372174E-5,4370,0,3.4071741,3.4353323,9.941,9.941,,3.427025,,,,,,,,,,,,,,,,,,,,,,,3.4209914375
,27810842.83,1.9982369,9.941,10000,2.99843742449662,,0.0795787622791507,,,,,,,,,,25,1,0,-0.268271158280882,0.00110686491536552,4373,0,1.9963908,2.000083,9.941,9.941,,2.00845,,,,,,,,,,,,,,,,,,,,,,,1.9982369
,27810878.68,1.99820015,9.941,10000,2.99843742449662,,0.0807129267454168,,,,,,,,,,25,1,0,-0.261707650786413,0.00110691309776921,4373,0,1.9979962,1.9984041,9.941,9.941,,2.0013,,,,,,,,,,,,,,,,,,,,,,,1.99820015
,27811034.19,1.9967958,19.942,10000,2.99843713322476,,0.0794050213504208,,,,,,,,,,25,1,0,-0.260955843231976,0.00110655708334189,4373,0,1.9943879,1.9992037,19.942,19.942,,2.0061,,,,,,,,,,,,,,,,,,,,,,,1.9967958
,27811069.24,1.99890285,19.942,10000,2.99843713322476,,0.0782727777797408,,,,,,,,,,25,1,0,-0.260648697301915,0.00110696261857302,4373,0,1.9963578,2.0014479,19.942,19.942,,2.00325,,,,,,,,,,,,,,,,,,,,,,,1.99890285
,27811103.79,1.9940572,19.942,10000,2.99843713322476,,0.0779993664424186,,,,,,,,,,25,1,0,-0.25993758550979,0.00110669092335216,4373,0,1.9933209,1.9947935,19.942,19.942,,1.99975,,,,,,,,,,,,,,,,,,,,,,,1.9940572
,27811140.15,1.995383,19.942,10000,2.99843713322476,,0.0783012808576279,,,,,,,,,,25,1,0,-0.262937713904437,0.00110662935694743,4373,0,1.9949415,1.9958245,19.942,19.942,,1.9979,,,,,,,,,,,,,,,,,,,,,,,1.995383
,27811272.05,2.0401240375,19.942,10,5.00035915304107,,8.150648467826E-7,5.62323522727938E-5,4.27104244738054E-6,5.63943192681577E-5,4.34347385105846,1.51354271099768E-8,1.98141443376651E-11,1.51354400795529E-8,0.0750072124440921,320,25,5,13.4965986394558,-0.262937713904437,6.75886698282629E-5,4370,0,2.0174763,2.0888462,19.942,19.942,,2.0278375,,,,,,,,,,,,,,,,,,,,,,,2.0401240375
,27811326.65,2.128659025,19.942,10,5.00035915304107,,7.89110942050825E-7,6.02499342108845E-5,1.8539029732603E-6,6.02784499522854E-5,1.76244692922069,1.51143333998988E-8,6.79141726719979E-11,1.5114485980613E-8,0.257448950771008,320,25,5,13.4965986394558,-0.262937713904437,6.7106845791277E-5,4374,0,2.1087875,2.1861663,19.942,19.942,,2.1212125,,,,,,,,,,,,,,,,,,,,,,,2.128659025
,27811390.61,2.235087525,19.942,10,5.00035915304107,,6.94390463608158E-7,6.09985118617699E-5,4.61973121314675E-6,6.11731997351144E-5,4.33103619488271,1.51329574453352E-8,4.30903007236241E-11,1.51330187938938E-8,0.163146278961426,320,25,5,13.4965986394558,-0.262937713904437,6.69398134584552E-5,4370,0,2.2122087,2.2669194,19.942,19.942,,2.2294875,,,,,,,,,,,,,,,,,,,,,,,2.235087525
,27811447.54,2.31820135,19.942,10,5.00035915304107,,9.07693655396123E-7,6.31922504040611E-5,1.95681244295611E-6,6.32225404904491E-5,1.77365544062407,1.51422189294213E-8,3.48356128406433E-11,1.51422590001112E-8,0.131812258204602,320,25,5,13.4965986394558,-0.262937713904437,6.67262048020581E-5,4370,0,2.3042471,2.3301466,19.942,19.942,,2.32465,,,,,,,,,,,,,,,,,,,,,,,2.31820135
