[Header]
TITLE,Bi-O-S_bestsample_Add2.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
36015192.09,,5905,2.10302,2.1126,0.131,9.4E-6,2.1308199,0.037937103,0,0,0.1572644,0,0.1572644,0,1.1782007,0.081543953,0,100,,,1,,,,1.9286E-6,0.1612565,4.5403936,0,0
36015208.41,,5905,2.10307,2.1125,0.131,9.2E-6,2.131148,0.038140583,0,0,0.15751571,0.001165,0.15751571,0.001165,35.695821,0.081683108,0,100,,,1,,,,1.9284E-6,0.1630879,4.5417918,0,0
36015223.77,,5905,2.10379,2.1131,0.131,9.4E-6,2.1309028,0.038324995,0,0,0.1577263,0.001379,0.1577263,0.001379,17.938763,0.082631783,0,100,,,1,,,,1.9088E-6,0.1633662,4.5407469,0,0
36015241.97,,5905,2.1042,2.1135,0.131,9.2E-6,2.1312396,0.038447524,0,0,0.15737842,0.001196,0.15737842,0.001196,14.615085,0.081777602,0,100,,,1,,,,1.9245E-6,0.1652636,4.5421824,0,0
36015257.44,,5905,2.10336,2.1142,0.131,9.4E-6,2.131367,0.038258928,0,0,0.15739977,0.002143,0.15739977,0.002143,0.69091606,0.081704365,0,100,,,1,,,,1.9265E-6,0.1635552,4.5427255,0,0
36015272.86,,5905,2.10434,2.1135,0.131,9.4E-6,2.1311865,0.038214927,0,0,0.15774514,0.001358,0.15774514,0.001358,5.7977112,0.081905065,0,100,,,1,,,,1.926E-6,0.1634087,4.541956,0,0
36015291.91,,5905,2.10474,2.1144,0.131,9.4E-6,2.1314647,0.038315352,0,0,0.15742854,0.001267,0.15742854,0.001267,57.665401,0.081696868,0,100,,,1,,,,1.927E-6,0.1638101,4.5431417,0,0
36015467.55,,5905,2.20467,2.2124,0.131,9.4E-6,2.231642,0.038842573,0,0,0.17330466,0.001273,0.17330466,0.001273,21.558881,0.08533122,0,100,,,1,,,,2.031E-6,0.1633937,4.9802261,0,0
36015483.02,,5905,2.20569,2.215,0.131,9.4E-6,2.2319236,0.039754995,0,0,0.17410063,0.003019,0.17410063,0.003019,0.6542363,0.085754921,0,100,,,1,,,,2.0302E-6,0.1706624,4.981483,0,0
36015498.41,,5905,2.20507,2.2127,0.131,9.3E-6,2.2324506,0.039873251,0,0,0.17419241,0.001309,0.17419241,0.001309,17.313849,0.085677565,0,100,,,1,,,,2.0331E-6,0.1715098,4.9838357,0,0
